first model:

[3.0416] grapheme	count 
[3.0417] SPACE	73270 
[3.0418] 	ا	58133 
[3.0419] 	ل	37311 
[3.0420] 	ي	24278 
[3.0420] 	م	19183 
[3.0421] 	و	17506 
[3.0422] 	ن	16893 
[3.0422] 	ر	14531 
[3.0423] 	ت	12835 
[3.0423] 	ب	10969 
[3.0424] 	ع	10884 
[3.0424] 	ة	10199 
[3.0425] 	د	9497 
[3.0426] 	ه	9108 
[3.0426] 	ف	8391 
[3.0426] 	س	7319 
[3.0427] 	ق	6715 
[3.0427] 	ح	5438 
[3.0428] 	ك	5270 
[3.0428] 	ج	4498 
[3.0429] 	.	4412 
[3.0429] ARABIC HAMZA ABOVE	3617 
[3.0430] 	ص	3448 
[3.0430] 	،	3320 
[3.0431] 	ش	2781 
[3.0432] 	ذ	2623 
[3.0432] 	ى	2583 
[3.0432] 	ط	2537 
[3.0433] 	خ	2449 
[3.0433] 	ـ	1969 
[3.0434] 	ث	1959 
[3.0434] 	ض	1797 
[3.0435] 	ز	1773 
[3.0435] 	غ	1173 
[3.0436] ARABIC FATHATAN	1166 
[3.0436] 	-	1158 
[3.0437] 	1	1151 
[3.0437] 	ء	1085 
[3.0438] 	)	895 
[3.0438] 	ظ	890 
[3.0439] 	(	834 
[3.0439] 	ی	763 
[3.0440] 	ک	690 
[3.0440] 	١	689 
[3.0441] 	:	650 
[3.0441] 	5	604 
[3.0442] 	9	559 
[3.0442] 	2	517 
[3.0443] 	4	504 
[3.0443] 	6	441 
[3.0444] 	3	433 
[3.0444] 	«	431 
[3.0445] 	0	420 
[3.0445] 	»	414 
[3.0446] ARABIC HAMZA BELOW	404 
[3.0446] RIGHT-TO-LEFT MARK	375 
[3.0447] 	٩	305 
[3.0447] 	8	299 
[3.0448] 	٢	296 
[3.0448] ARABIC MADDAH ABOVE	295 
[3.0449] 	7	291 
[3.0449] 	٤	275 
[3.0450] 	٥	252 
[3.0450] 	٣	245 
[3.0451] 	e	238 
[3.0451] 	٦	235 
[3.0452] 	/	234 
[3.0452] 	٠	205 
[3.0453] 	۳	175 
[3.0453] 	۲	159 
[3.0454] 	a	150 
[3.0454] 	n	148 
[3.0455] 	۱	145 
[3.0455] 	i	139 
[3.0456] 	٨	137 
[3.0456] 	o	132 
[3.0457] 	r	118 
[3.0457] 	t	118 
[3.0457] 	٧	114 
[3.0458] 	s	113 
[3.0458] 	۸	96 
[3.0459] 	۷	94 
[3.0459] 	۹	91 
[3.0460] 	l	83 
[3.0460] 	?	68 
[3.0461] 	d	59 
[3.0461] 	u	59 
[3.0462] 	c	52 
[3.0462] 	m	49 
[3.0463] 	h	49 
[3.0463] 	ھ	48 
[3.0463] 	,	46 
[3.0464] 	[	45 
[3.0464] 	]	45 
[3.0465] LEFT-TO-RIGHT MARK	44 
[3.0465] 	؛	37 
[3.0466] 	b	36 
[3.0466] 	g	34 
[3.0467] 	S	32 
[3.0467] 	f	31 
[3.0468] 	p	30 
[3.0468] 	۰	30 
[3.0469] 	A	27 
[3.0469] 	I	26 
[3.0469] 	P	24 
[3.0470] 	=	22 
[3.0470] 	y	21 
[3.0471] 	B	21 
[3.0471] 	❊	21 
[3.0472] 	T	20 
[3.0472] 	C	19 
[3.0473] 	E	19 
[3.0473] 	!	19 
[3.0474] 	L	18 
[3.0474] 	+	17 
[3.0475] 	R	16 
[3.0475] 	w	14 
[3.0475] 	H	14 
[3.0476] 	M	14 
[3.0476] 	N	14 
[3.0477] 	F	12 
[3.0477] 	v	12 
[3.0478] 	k	11 
[3.0478] 	G	10 
[3.0479] 	D	10 
[3.0480] 	؟	10 
[3.0480] 	V	10 
[3.0481] 	U	9 
[3.0481] 	J	8 
[3.0482] 	*	8 
[3.0482] 	W	7 
[3.0483] 	z	6 
[3.0483] 	K	6 
[3.0484] 	٪	6 
[3.0484] 	ە	6 
[3.0485] 	—	6 
[3.0485] 	۵	5 
[3.0485] 	ۍ	5 
[3.0486] 	Y	5 
[3.0486] COMBINING GRAVE ACCENT	5 
[3.0487] 	x	4 
[3.0488] 	ڪ	4 
[3.0488] 	پ	4 
[3.0489] COMBINING CIRCUMFLEX ACCENT	3 
[3.0489] 	Z	3 
[3.0490] 	×	3 
[3.0490] 	j	3 
[3.0491] 	q	3 
[3.0491] COMBINING ACUTE ACCENT	3 
[3.0492] 	O	3 
[3.0492] 	ہ	2 
[3.0493] 	‘	2 
[3.0493] ARABIC SHADDA	2 
[3.0493] 	"	2 
[3.0495] 	<	2 
[3.0495] 	۔	2 
[3.0495] 	|	2 
[3.0496] 	%	2 
[3.0496] 	ۃ	2 
[3.0497] 	_	2 
[3.0497] 	√	2 
[3.0498] 	’	2 
[3.0498] 	X	2 
[3.0499] 	`	2 
[3.0499] 	;	1 
[3.0500] ARABIC DAMMA	1 
[3.0500] 	>	1 
[3.0501] 	ې	1 
[3.0501] COMBINING MACRON	1 
[3.0501] COMBINING DIAERESIS	1 
[3.0502] 	“	1 
[3.0502] 	”	1 
[3.0503] 	$	1 
[3.0503] 	&	1 
[3.0504] 	'	1 
[3.0504] 	ڤ	1 
[3.0505] 	Q	1 
[3.0505] ARABIC KASRA	1 
[3.0505] 	ש	1 
[3.0506] 	ב	1 
[3.0506] 	ע	1 
[3.0507] ARABIC FATHA	1 

second model:

[1.5962] grapheme	count 
[1.5964] SPACE	20987 
[1.5965] 	ا	15951 
[1.5966] 	ل	10249 
[1.5967] 	ي	6514 
[1.5968] 	م	5110 
[1.5968] 	و	4972 
[1.5969] 	ن	4664 
[1.5970] 	ر	3890 
[1.5970] 	ت	3442 
[1.5971] 	ب	3145 
[1.5972] 	ع	2983 
[1.5972] 	ه	2707 
[1.5973] 	ة	2584 
[1.5973] 	د	2583 
[1.5974] 	ف	2475 
[1.5975] ARABIC HAMZA ABOVE	2331 
[1.5975] 	ق	2117 
[1.5976] 	س	1901 
[1.5977] 	ح	1561 
[1.5977] 	ك	1466 
[1.5978] 	،	1368 
[1.5978] 	ج	1182 
[1.5979] 	ص	995 
[1.5979] 	.	964 
[1.5980] ARABIC HAMZA BELOW	839 
[1.5981] 	ذ	785 
[1.5981] 	ش	772 
[1.5982] 	ى	755 
[1.5982] 	خ	741 
[1.5983] 	ط	661 
[1.5983] 	ـ	563 
[1.5984] 	ض	541 
[1.5985] 	ث	517 
[1.5987] 	ز	503 
[1.5989] 	غ	390 
[1.5992] ARABIC FATHATAN	388 
[1.5995] 	:	358 
[1.5997] 	(	344 
[1.5998] 	)	338 
[1.5999] 	ء	318 
[1.5999] 	١	293 
[1.6000] 	-	261 
[1.6000] 	1	234 
[1.6001] 	ظ	217 
[1.6001] 	«	190 
[1.6002] 	»	176 
[1.6002] 	e	174 
[1.6002] 	؛	150 
[1.6003] 	2	140 
[1.6003] 	/	133 
[1.6004] 	ی	129 
[1.6004] 	٤	123 
[1.6004] 	9	122 
[1.6005] ARABIC MADDAH ABOVE	121 
[1.6005] 	a	120 
[1.6006] 	i	116 
[1.6006] 	٢	113 
[1.6006] 	n	113 
[1.6007] 	٠	105 
[1.6007] 	٩	102 
[1.6008] 	r	100 
[1.6008] 	t	98 
[1.6008] 	٥	89 
[1.6009] 	٣	88 
[1.6009] 	o	87 
[1.6010] 	5	86 
[1.6010] 	٦	84 
[1.6010] 	4	82 
[1.6011] 	۱	79 
[1.6011] 	8	78 
[1.6012] 	s	77 
[1.6012] 	3	75 
[1.6012] 	ک	74 
[1.6013] 	"	72 
[1.6014] 	۲	72 
[1.6014] 	۳	71 
[1.6014] 	,	67 
[1.6015] 	l	67 
[1.6015] 	6	66 
[1.6016] 	0	63 
[1.6017] 	۹	61 
[1.6017] 	u	57 
[1.6018] 	۷	57 
[1.6018] 	٨	56 
[1.6018] 	٧	56 
[1.6019] 	d	50 
[1.6019] 	۸	49 
[1.6020] 	7	49 
[1.6020] 	h	45 
[1.6021] 	g	40 
[1.6021] 	p	34 
[1.6021] 	b	32 
[1.6022] 	c	31 
[1.6022] 	m	28 
[1.6023] 	”	25 
[1.6023] 	“	25 
[1.6024] 	S	23 
[1.6024] 	f	19 
[1.6025] 	M	19 
[1.6025] 	D	18 
[1.6026] 	P	18 
[1.6026] 	=	18 
[1.6027] 	y	17 
[1.6027] 	؟	16 
[1.6028] 	k	15 
[1.6028] 	]	15 
[1.6028] 	w	14 
[1.6029] 	L	13 
[1.6029] 	[	13 
[1.6030] 	A	10 
[1.6030] 	C	10 
[1.6030] 	v	10 
[1.6031] 	T	9 
[1.6031] 	I	9 
[1.6032] 	N	9 
[1.6032] 	J	8 
[1.6033] 	۰	8 
[1.6033] 	H	8 
[1.6034] COMBINING MACRON	8 
[1.6034] 	!	7 
[1.6035] 	’	7 
[1.6035] 	K	7 
[1.6035] 	G	7 
[1.6036] 	B	7 
[1.6036] 	٭	7 
[1.6037] 	V	7 
[1.6037] 	W	7 
[1.6038] 	;	6 
[1.6038] 	‘	6 
[1.6039] ARABIC SHADDA	6 
[1.6039] 	E	6 
[1.6040] 	R	6 
[1.6040] 	Y	5 
[1.6041] 	ھ	5 
[1.6041] 	O	5 
[1.6042] 	z	5 
[1.6042] 	٪	5 
